Var name,R2,Description
ptend_q0001_12_r2,0.027997022541918222,moistening tendency
ptend_q0001_14_r2,0.04066056365607217,moistening tendency
ptend_q0003_15_r2,0.08817971517532003,cloud ice mixing ratio change over time
ptend_q0001_13_r2,0.13488123092044735,moistening tendency
ptend_q0001_15_r2,0.17088565010941995,moistening tendency
ptend_q0003_28_r2,0.2937158076886988,cloud ice mixing ratio change over time
ptend_q0001_43_r2,0.3207625524694712,moistening tendency
ptend_q0001_39_r2,0.33059320873895015,moistening tendency
ptend_q0001_40_r2,0.33174481175437476,moistening tendency
ptend_q0001_49_r2,0.3325689842553035,moistening tendency
ptend_q0002_43_r2,0.33284421653859697,cloud liquid mixing ratio change over time
ptend_q0001_47_r2,0.33328980684094084,moistening tendency
ptend_q0001_45_r2,0.3336355806916067,moistening tendency
ptend_q0001_50_r2,0.33471220111184075,moistening tendency
ptend_q0001_44_r2,0.3355082979105123,moistening tendency
ptend_q0001_48_r2,0.33740492171831954,moistening tendency
ptend_q0003_27_r2,0.3405914260358204,cloud ice mixing ratio change over time
ptend_q0001_51_r2,0.34999955584591835,moistening tendency
ptend_q0002_42_r2,0.3524892142273711,cloud liquid mixing ratio change over time
ptend_q0003_29_r2,0.35461310414134944,cloud ice mixing ratio change over time
ptend_q0002_39_r2,0.354890700059458,cloud liquid mixing ratio change over time
ptend_q0002_40_r2,0.35534141575176126,cloud liquid mixing ratio change over time
ptend_q0002_47_r2,0.35700403747125276,cloud liquid mixing ratio change over time
ptend_q0001_52_r2,0.35796612497281055,moistening tendency
ptend_q0001_46_r2,0.3582183866136865,moistening tendency
ptend_q0001_53_r2,0.35833111814619756,moistening tendency
ptend_q0001_42_r2,0.35846377623020936,moistening tendency
ptend_q0002_49_r2,0.35999983276590236,cloud liquid mixing ratio change over time
ptend_q0002_44_r2,0.36179192876855426,cloud liquid mixing ratio change over time
ptend_u_36_r2,0.36384762714878577,zonal wind acceleration
ptend_q0001_41_r2,0.363999781627251,moistening tendency
ptend_q0002_48_r2,0.367168816056955,cloud liquid mixing ratio change over time
ptend_q0001_18_r2,0.3680929391333216,moistening tendency
ptend_q0002_33_r2,0.36945549759873303,cloud liquid mixing ratio change over time
ptend_u_35_r2,0.3697718400491484,zonal wind acceleration
ptend_q0002_45_r2,0.3698395361246122,cloud liquid mixing ratio change over time
ptend_q0002_46_r2,0.37011261007611024,cloud liquid mixing ratio change over time
ptend_q0002_50_r2,0.371431982179507,cloud liquid mixing ratio change over time
ptend_q0002_32_r2,0.3741517673249008,cloud liquid mixing ratio change over time
ptend_u_39_r2,0.37485352692079743,zonal wind acceleration
ptend_u_40_r2,0.3764664100529572,zonal wind acceleration
ptend_q0002_38_r2,0.37888072784215937,cloud liquid mixing ratio change over time
ptend_q0002_54_r2,0.3803716448232878,cloud liquid mixing ratio change over time
ptend_q0002_41_r2,0.3848610207125904,cloud liquid mixing ratio change over time
ptend_q0001_54_r2,0.3853037184352763,moistening tendency
ptend_q0002_52_r2,0.3867949561369729,cloud liquid mixing ratio change over time
ptend_u_37_r2,0.38868843699125555,zonal wind acceleration
ptend_u_34_r2,0.3898921514853657,zonal wind acceleration
ptend_q0001_38_r2,0.390115268680262,moistening tendency
ptend_q0002_34_r2,0.39114688073993265,cloud liquid mixing ratio change over time
ptend_q0001_16_r2,0.3912066035161684,moistening tendency
ptend_q0003_45_r2,0.3935330410804644,cloud ice mixing ratio change over time
ptend_q0003_46_r2,0.394329477551661,cloud ice mixing ratio change over time
ptend_q0003_42_r2,0.397546920006217,cloud ice mixing ratio change over time
ptend_q0002_37_r2,0.3983973218551976,cloud liquid mixing ratio change over time
ptend_u_38_r2,0.40056106948849557,zonal wind acceleration
ptend_q0002_53_r2,0.40164937510112425,cloud liquid mixing ratio change over time
ptend_q0003_30_r2,0.4040215578674258,cloud ice mixing ratio change over time
ptend_q0001_55_r2,0.4055777379543352,moistening tendency
ptend_q0002_51_r2,0.40640217245403804,cloud liquid mixing ratio change over time
ptend_q0002_35_r2,0.4149759764244477,cloud liquid mixing ratio change over time
ptend_q0003_47_r2,0.41716504726634057,cloud ice mixing ratio change over time
ptend_t_51_r2,0.41793330909981197,heating tendency
ptend_t_54_r2,0.4185592782295684,heating tendency
ptend_t_50_r2,0.42123443483395656,heating tendency
ptend_q0003_44_r2,0.42158828093837164,cloud ice mixing ratio change over time
ptend_t_49_r2,0.4224713706699011,heating tendency
ptend_t_53_r2,0.42382200452425284,heating tendency
ptend_u_33_r2,0.4240130037660337,zonal wind acceleration
ptend_t_48_r2,0.42443356389223025,heating tendency
ptend_q0003_43_r2,0.4245963452110604,cloud ice mixing ratio change over time
ptend_q0002_36_r2,0.42465681917001163,cloud liquid mixing ratio change over time
ptend_t_52_r2,0.4309835284145636,heating tendency
ptend_u_41_r2,0.43109293079869787,zonal wind acceleration
ptend_q0001_37_r2,0.4316072171847943,moistening tendency
ptend_t_55_r2,0.4321964378534869,heating tendency
ptend_q0001_56_r2,0.43941993789617184,moistening tendency
ptend_q0003_16_r2,0.4415283626230428,cloud ice mixing ratio change over time
ptend_q0002_55_r2,0.4422485628119562,cloud liquid mixing ratio change over time
ptend_q0003_48_r2,0.4426963366542073,cloud ice mixing ratio change over time
ptend_q0003_41_r2,0.4429155802144016,cloud ice mixing ratio change over time
ptend_t_47_r2,0.44896777746712435,heating tendency
ptend_q0003_49_r2,0.4505248460234108,cloud ice mixing ratio change over time
ptend_t_56_r2,0.45300893328668407,heating tendency
ptend_t_18_r2,0.45711162905654174,heating tendency
ptend_q0003_14_r2,0.4571939040121433,cloud ice mixing ratio change over time
ptend_t_57_r2,0.45767156194122416,heating tendency
ptend_u_42_r2,0.46256201514100176,zonal wind acceleration
ptend_q0003_31_r2,0.4669349087069806,cloud ice mixing ratio change over time
ptend_t_19_r2,0.47719168619946595,heating tendency
ptend_q0003_40_r2,0.4777893577469651,cloud ice mixing ratio change over time
ptend_q0001_57_r2,0.4816125118276276,moistening tendency
ptend_u_32_r2,0.48209439811728516,zonal wind acceleration
ptend_q0003_32_r2,0.48288437624369746,cloud ice mixing ratio change over time
ptend_t_46_r2,0.4861776986947034,heating tendency
ptend_q0001_36_r2,0.48692034186536787,moistening tendency
ptend_u_43_r2,0.502975646782588,zonal wind acceleration
ptend_t_45_r2,0.507016523956066,heating tendency
ptend_q0003_33_r2,0.5074853770031365,cloud ice mixing ratio change over time
ptend_q0003_50_r2,0.5104596630256061,cloud ice mixing ratio change over time
ptend_t_44_r2,0.5155350217990505,heating tendency
ptend_t_21_r2,0.5179513228738247,heating tendency
ptend_q0003_34_r2,0.518443794676193,cloud ice mixing ratio change over time
ptend_t_58_r2,0.5225512039170144,heating tendency
ptend_q0002_31_r2,0.5243570172352315,cloud liquid mixing ratio change over time
ptend_v_27_r2,0.525403937821894,meridional wind acceleration
ptend_q0001_21_r2,0.5257839506708096,moistening tendency
ptend_q0003_36_r2,0.5263124850615417,cloud ice mixing ratio change over time
ptend_u_31_r2,0.5285960786235837,zonal wind acceleration
ptend_q0001_20_r2,0.5313938372809663,moistening tendency
ptend_q0003_35_r2,0.5354478627515872,cloud ice mixing ratio change over time
ptend_q0003_39_r2,0.53719961932108,cloud ice mixing ratio change over time
ptend_u_44_r2,0.5372354405289426,zonal wind acceleration
ptend_t_43_r2,0.5379171104155036,heating tendency
ptend_u_29_r2,0.5412993312125791,zonal wind acceleration
ptend_q0001_19_r2,0.5416730394366105,moistening tendency
ptend_q0003_26_r2,0.5440419155789522,cloud ice mixing ratio change over time
