Var name,R2,Description
ptend_q0001_14_r2,0.0715613887403425,moistening tendency
ptend_q0001_51_r2,0.31492010169955914,moistening tendency
ptend_q0001_50_r2,0.32326408614748986,moistening tendency
ptend_q0002_31_r2,0.3282467208979708,cloud liquid mixing ratio change over time
ptend_q0001_47_r2,0.3286193019988439,moistening tendency
ptend_q0001_49_r2,0.3297816193186111,moistening tendency
ptend_q0002_33_r2,0.3311039219722922,cloud liquid mixing ratio change over time
ptend_q0001_46_r2,0.3385306488483728,moistening tendency
ptend_q0001_48_r2,0.3395572066568559,moistening tendency
ptend_q0001_52_r2,0.34185005209080116,moistening tendency
ptend_q0002_32_r2,0.34598336219376297,cloud liquid mixing ratio change over time
ptend_q0001_44_r2,0.3478461965022748,moistening tendency
ptend_q0001_41_r2,0.3479435753985059,moistening tendency
ptend_q0001_45_r2,0.3481599884925132,moistening tendency
ptend_q0002_51_r2,0.3502249814222667,cloud liquid mixing ratio change over time
ptend_q0002_46_r2,0.3506997545958079,cloud liquid mixing ratio change over time
ptend_q0002_50_r2,0.3530221520711075,cloud liquid mixing ratio change over time
ptend_q0002_47_r2,0.3533502037990394,cloud liquid mixing ratio change over time
ptend_q0002_45_r2,0.35344790023791567,cloud liquid mixing ratio change over time
ptend_q0001_42_r2,0.35410201606706476,moistening tendency
ptend_q0002_49_r2,0.35494871104659775,cloud liquid mixing ratio change over time
ptend_q0002_44_r2,0.3557656104533696,cloud liquid mixing ratio change over time
ptend_q0001_43_r2,0.35617817806790497,moistening tendency
ptend_q0002_52_r2,0.3572853665460944,cloud liquid mixing ratio change over time
ptend_q0002_35_r2,0.36005940219005866,cloud liquid mixing ratio change over time
ptend_q0001_53_r2,0.3608697672811913,moistening tendency
ptend_q0002_43_r2,0.36181174636100705,cloud liquid mixing ratio change over time
ptend_q0002_37_r2,0.3622468886596644,cloud liquid mixing ratio change over time
ptend_q0001_40_r2,0.36438550277723053,moistening tendency
ptend_q0002_48_r2,0.3644842165864836,cloud liquid mixing ratio change over time
ptend_q0002_34_r2,0.36500353145947506,cloud liquid mixing ratio change over time
ptend_q0002_53_r2,0.36565376134838473,cloud liquid mixing ratio change over time
ptend_q0002_36_r2,0.37207597926925534,cloud liquid mixing ratio change over time
ptend_q0001_39_r2,0.3726407617417282,moistening tendency
ptend_q0002_39_r2,0.3728937133851358,cloud liquid mixing ratio change over time
ptend_q0002_38_r2,0.37356502265999203,cloud liquid mixing ratio change over time
ptend_u_34_r2,0.37729376759144456,zonal wind acceleration
ptend_q0002_40_r2,0.38061582154394374,cloud liquid mixing ratio change over time
ptend_q0002_42_r2,0.3868503309144299,cloud liquid mixing ratio change over time
ptend_q0002_41_r2,0.38833400607042096,cloud liquid mixing ratio change over time
ptend_u_33_r2,0.39281048127506846,zonal wind acceleration
ptend_q0001_54_r2,0.3982772071468301,moistening tendency
ptend_q0001_38_r2,0.39868470701072556,moistening tendency
ptend_q0002_54_r2,0.4043282027265859,cloud liquid mixing ratio change over time
ptend_t_51_r2,0.40742839052116264,heating tendency
ptend_t_52_r2,0.4110611101561061,heating tendency
ptend_u_35_r2,0.4125854433771998,zonal wind acceleration
ptend_t_18_r2,0.41376023744888263,heating tendency
ptend_q0003_45_r2,0.4140379095754404,cloud ice mixing ratio change over time
ptend_q0001_55_r2,0.41890118274924143,moistening tendency
ptend_t_50_r2,0.419233373636259,heating tendency
ptend_q0003_25_r2,0.42025225242780356,cloud ice mixing ratio change over time
ptend_q0003_44_r2,0.4206367963405431,cloud ice mixing ratio change over time
ptend_q0003_28_r2,0.422086628925572,cloud ice mixing ratio change over time
ptend_t_19_r2,0.4224153559444024,heating tendency
ptend_q0003_46_r2,0.42321727404491577,cloud ice mixing ratio change over time
ptend_t_53_r2,0.42394875408226385,heating tendency
ptend_q0001_20_r2,0.42881168879707177,moistening tendency
ptend_q0003_43_r2,0.43251921840628116,cloud ice mixing ratio change over time
ptend_t_49_r2,0.4328745682155263,heating tendency
ptend_t_54_r2,0.43333294998734634,heating tendency
ptend_u_40_r2,0.4353216023799857,zonal wind acceleration
ptend_u_36_r2,0.437083309112384,zonal wind acceleration
