Var name,R2,Description
ptend_q0003_15_r2,-1.4689066341113515,cloud ice mixing ratio change over time
ptend_q0002_31_r2,0.17279784988037372,cloud liquid mixing ratio change over time
ptend_q0002_32_r2,0.2667609542348694,cloud liquid mixing ratio change over time
ptend_q0001_50_r2,0.31372105291957497,moistening tendency
ptend_q0001_51_r2,0.3158916895569791,moistening tendency
ptend_q0001_48_r2,0.31995823919242766,moistening tendency
ptend_q0001_49_r2,0.32088303554472264,moistening tendency
ptend_q0001_42_r2,0.3283053451503554,moistening tendency
ptend_q0001_47_r2,0.3312855623547024,moistening tendency
ptend_q0001_52_r2,0.3339452713359653,moistening tendency
ptend_q0001_45_r2,0.33436826626578253,moistening tendency
ptend_q0001_43_r2,0.33670041517458327,moistening tendency
ptend_q0001_46_r2,0.33954481072118137,moistening tendency
ptend_q0002_51_r2,0.3396338388924068,cloud liquid mixing ratio change over time
ptend_q0002_52_r2,0.34100078226143465,cloud liquid mixing ratio change over time
ptend_q0001_44_r2,0.34145078444998356,moistening tendency
ptend_u_34_r2,0.3458898315283529,zonal wind acceleration
ptend_q0002_35_r2,0.348116177121906,cloud liquid mixing ratio change over time
ptend_q0002_53_r2,0.3493308031281269,cloud liquid mixing ratio change over time
ptend_q0002_50_r2,0.35112463323833226,cloud liquid mixing ratio change over time
ptend_q0002_33_r2,0.35160512915609865,cloud liquid mixing ratio change over time
ptend_q0002_34_r2,0.3518674024401556,cloud liquid mixing ratio change over time
ptend_q0001_53_r2,0.352852480588898,moistening tendency
ptend_q0002_45_r2,0.35419077888557976,cloud liquid mixing ratio change over time
ptend_u_35_r2,0.3555369662619981,zonal wind acceleration
ptend_q0001_41_r2,0.3565147104711221,moistening tendency
ptend_q0001_40_r2,0.3569800116718079,moistening tendency
ptend_q0002_46_r2,0.3576145692602437,cloud liquid mixing ratio change over time
ptend_q0002_36_r2,0.35907329483454503,cloud liquid mixing ratio change over time
ptend_q0002_47_r2,0.35933247207591723,cloud liquid mixing ratio change over time
ptend_q0002_48_r2,0.3613855152052781,cloud liquid mixing ratio change over time
ptend_u_33_r2,0.3617243148737199,zonal wind acceleration
ptend_q0002_49_r2,0.3624722343715861,cloud liquid mixing ratio change over time
ptend_q0002_37_r2,0.3665585329188126,cloud liquid mixing ratio change over time
ptend_q0002_44_r2,0.3689590132836587,cloud liquid mixing ratio change over time
ptend_q0003_17_r2,0.3692561088749883,cloud ice mixing ratio change over time
ptend_u_31_r2,0.3699119599188053,zonal wind acceleration
ptend_q0001_39_r2,0.3730739077203756,moistening tendency
ptend_q0002_30_r2,0.3730982525047413,cloud liquid mixing ratio change over time
ptend_q0002_38_r2,0.374218764931075,cloud liquid mixing ratio change over time
ptend_q0001_54_r2,0.3754872632229472,moistening tendency
ptend_q0002_42_r2,0.3777422403839439,cloud liquid mixing ratio change over time
ptend_q0002_40_r2,0.37953476281495685,cloud liquid mixing ratio change over time
ptend_q0002_43_r2,0.3795773291288145,cloud liquid mixing ratio change over time
ptend_u_36_r2,0.3837494175432993,zonal wind acceleration
ptend_q0002_39_r2,0.3882210834402237,cloud liquid mixing ratio change over time
ptend_q0003_43_r2,0.38892068047927836,cloud ice mixing ratio change over time
ptend_u_32_r2,0.3893928704319933,zonal wind acceleration
ptend_q0002_41_r2,0.3908843064729967,cloud liquid mixing ratio change over time
ptend_q0003_44_r2,0.39657349692797333,cloud ice mixing ratio change over time
ptend_q0001_55_r2,0.39829511801253537,moistening tendency
ptend_q0003_45_r2,0.40186450167336096,cloud ice mixing ratio change over time
ptend_u_38_r2,0.4022039003860361,zonal wind acceleration
ptend_q0003_42_r2,0.40403495501801767,cloud ice mixing ratio change over time
ptend_u_30_r2,0.4040852665662626,zonal wind acceleration
ptend_u_37_r2,0.40536965730449664,zonal wind acceleration
ptend_u_42_r2,0.4071424494018415,zonal wind acceleration
ptend_q0002_54_r2,0.4086642726106576,cloud liquid mixing ratio change over time
ptend_t_50_r2,0.4112479350872572,heating tendency
ptend_u_39_r2,0.4126261649491692,zonal wind acceleration
ptend_t_51_r2,0.41299262980983964,heating tendency
ptend_u_41_r2,0.41631275466877793,zonal wind acceleration
ptend_t_53_r2,0.41843879673560763,heating tendency
ptend_t_49_r2,0.41862309209270027,heating tendency
ptend_t_52_r2,0.4193725994738227,heating tendency
ptend_q0001_38_r2,0.42022247221395076,moistening tendency
ptend_q0003_26_r2,0.42426878744104635,cloud ice mixing ratio change over time
ptend_t_19_r2,0.4243592608233201,heating tendency
ptend_u_40_r2,0.4247012671549906,zonal wind acceleration
ptend_t_20_r2,0.4299963607359003,heating tendency
ptend_q0003_46_r2,0.4306527558418663,cloud ice mixing ratio change over time
ptend_q0003_41_r2,0.43288319520139906,cloud ice mixing ratio change over time
ptend_t_54_r2,0.4339626321922418,heating tendency
ptend_u_43_r2,0.43753725786417325,zonal wind acceleration
ptend_t_48_r2,0.43794359837840435,heating tendency
ptend_q0003_27_r2,0.4399952775235668,cloud ice mixing ratio change over time
ptend_q0003_28_r2,0.4467433334773008,cloud ice mixing ratio change over time
ptend_t_55_r2,0.45108713759026614,heating tendency
ptend_t_47_r2,0.4531732809175787,heating tendency
ptend_t_18_r2,0.45337712961562254,heating tendency
ptend_q0001_37_r2,0.45538271947319486,moistening tendency
ptend_q0001_56_r2,0.45613979143276673,moistening tendency
ptend_u_44_r2,0.4577025096421091,zonal wind acceleration
ptend_q0003_29_r2,0.45777580812333113,cloud ice mixing ratio change over time
ptend_q0003_25_r2,0.45868185252382876,cloud ice mixing ratio change over time
ptend_q0003_40_r2,0.45976818758129334,cloud ice mixing ratio change over time
ptend_t_56_r2,0.4624231847270538,heating tendency
ptend_t_57_r2,0.46514466952998207,heating tendency
ptend_q0003_47_r2,0.466194981598654,cloud ice mixing ratio change over time
ptend_q0001_15_r2,0.47106054890166255,moistening tendency
ptend_t_46_r2,0.4749966834759709,heating tendency
ptend_q0003_39_r2,0.4753226266646137,cloud ice mixing ratio change over time
ptend_u_29_r2,0.4782918870853742,zonal wind acceleration
ptend_q0003_30_r2,0.4789530842006945,cloud ice mixing ratio change over time
ptend_q0001_57_r2,0.4822832563853308,moistening tendency
ptend_u_45_r2,0.4960050779628653,zonal wind acceleration
ptend_q0002_55_r2,0.4995714647158119,cloud liquid mixing ratio change over time
ptend_t_45_r2,0.4998682181528785,heating tendency
ptend_q0003_31_r2,0.5022414952675479,cloud ice mixing ratio change over time
ptend_q0003_48_r2,0.5030399204478697,cloud ice mixing ratio change over time
ptend_q0003_38_r2,0.5041527825205578,cloud ice mixing ratio change over time
ptend_v_36_r2,0.5051653768629178,meridional wind acceleration
ptend_q0003_24_r2,0.5086327268183899,cloud ice mixing ratio change over time
ptend_q0001_36_r2,0.5122438251440881,moistening tendency
ptend_v_35_r2,0.5154485728989123,meridional wind acceleration
ptend_q0003_32_r2,0.5159752858688307,cloud ice mixing ratio change over time
ptend_q0003_34_r2,0.5165795166568266,cloud ice mixing ratio change over time
ptend_q0003_35_r2,0.5173574161236009,cloud ice mixing ratio change over time
