Var name,R2,Description
ptend_q0001_18_r2,0.24318596157374509,moistening tendency
ptend_q0001_48_r2,0.33118797707774283,moistening tendency
ptend_q0001_50_r2,0.3328966827851068,moistening tendency
ptend_q0002_32_r2,0.3358277085664118,cloud liquid mixing ratio change over time
ptend_q0002_33_r2,0.3364423193126473,cloud liquid mixing ratio change over time
ptend_q0001_51_r2,0.340366029312131,moistening tendency
ptend_q0001_49_r2,0.3432520497521815,moistening tendency
ptend_q0002_51_r2,0.348093771556141,cloud liquid mixing ratio change over time
ptend_q0001_47_r2,0.34862534765940145,moistening tendency
ptend_q0002_52_r2,0.3492642818058872,cloud liquid mixing ratio change over time
ptend_q0002_35_r2,0.3515066470524479,cloud liquid mixing ratio change over time
ptend_q0001_52_r2,0.35181443263288675,moistening tendency
ptend_q0002_53_r2,0.35588355682774564,cloud liquid mixing ratio change over time
ptend_q0002_50_r2,0.3561989911916018,cloud liquid mixing ratio change over time
ptend_q0001_46_r2,0.3576520220889696,moistening tendency
ptend_q0001_44_r2,0.3581591609275973,moistening tendency
ptend_q0002_48_r2,0.35882226465139444,cloud liquid mixing ratio change over time
ptend_q0002_46_r2,0.36070929022357445,cloud liquid mixing ratio change over time
ptend_q0001_45_r2,0.3638094322759397,moistening tendency
ptend_q0002_44_r2,0.3638154874654035,cloud liquid mixing ratio change over time
ptend_q0002_49_r2,0.3643908273510736,cloud liquid mixing ratio change over time
ptend_q0002_47_r2,0.3646194346717681,cloud liquid mixing ratio change over time
ptend_q0001_43_r2,0.3672877910032237,moistening tendency
ptend_q0002_37_r2,0.36927894243060755,cloud liquid mixing ratio change over time
ptend_q0002_34_r2,0.3697525773364171,cloud liquid mixing ratio change over time
ptend_q0001_53_r2,0.36978656092775125,moistening tendency
ptend_q0001_41_r2,0.37461043540092637,moistening tendency
ptend_q0002_43_r2,0.37472419159018666,cloud liquid mixing ratio change over time
ptend_q0001_42_r2,0.3769832576545927,moistening tendency
ptend_q0002_45_r2,0.37798290324650136,cloud liquid mixing ratio change over time
ptend_q0002_36_r2,0.3797370287561403,cloud liquid mixing ratio change over time
ptend_q0002_38_r2,0.3919827061718601,cloud liquid mixing ratio change over time
