Var name,R2,Description
ptend_q0001_13_r2,-2.227828146784655,moistening tendency
ptend_q0001_12_r2,-0.4022640282004747,moistening tendency
ptend_t_18_r2,0.03824359540952155,heating tendency
ptend_q0003_42_r2,0.05411036919414119,cloud ice mixing ratio change over time
ptend_q0003_41_r2,0.0803704721310307,cloud ice mixing ratio change over time
ptend_t_20_r2,0.08533319720647806,heating tendency
ptend_q0003_23_r2,0.10080066094943348,cloud ice mixing ratio change over time
ptend_u_28_r2,0.18618052627699905,zonal wind acceleration
ptend_t_19_r2,0.1905426166122186,heating tendency
ptend_u_24_r2,0.19613978466838042,zonal wind acceleration
ptend_q0003_43_r2,0.19981925501747436,cloud ice mixing ratio change over time
ptend_v_34_r2,0.20401029580151506,meridional wind acceleration
ptend_q0003_44_r2,0.22413772282689057,cloud ice mixing ratio change over time
ptend_q0002_53_r2,0.2267022327144985,cloud liquid mixing ratio change over time
ptend_u_30_r2,0.22912206203214086,zonal wind acceleration
ptend_u_29_r2,0.23972187357829103,zonal wind acceleration
ptend_q0003_29_r2,0.24648223860701843,cloud ice mixing ratio change over time
ptend_q0003_45_r2,0.24874024519203203,cloud ice mixing ratio change over time
ptend_u_26_r2,0.2517779406048185,zonal wind acceleration
ptend_q0003_38_r2,0.2551838068428001,cloud ice mixing ratio change over time
ptend_u_33_r2,0.2574671245149638,zonal wind acceleration
ptend_q0002_43_r2,0.2598955845231351,cloud liquid mixing ratio change over time
ptend_q0002_44_r2,0.2625971129344119,cloud liquid mixing ratio change over time
ptend_q0001_40_r2,0.26829164794217997,moistening tendency
ptend_q0003_27_r2,0.2710522650970086,cloud ice mixing ratio change over time
ptend_u_23_r2,0.2747068728102914,zonal wind acceleration
ptend_u_27_r2,0.2775724005728169,zonal wind acceleration
ptend_q0003_39_r2,0.27961168692657906,cloud ice mixing ratio change over time
ptend_q0001_48_r2,0.2806248235077526,moistening tendency
ptend_v_24_r2,0.2812087480856592,meridional wind acceleration
ptend_q0003_46_r2,0.2828251425975279,cloud ice mixing ratio change over time
ptend_q0002_30_r2,0.28288032012773745,cloud liquid mixing ratio change over time
ptend_u_32_r2,0.28390856238454143,zonal wind acceleration
ptend_q0002_54_r2,0.29007765439869343,cloud liquid mixing ratio change over time
ptend_q0002_39_r2,0.2998432493999463,cloud liquid mixing ratio change over time
ptend_q0002_31_r2,0.30056462497114983,cloud liquid mixing ratio change over time
ptend_q0001_47_r2,0.3019493906996146,moistening tendency
ptend_q0001_43_r2,0.30222980807308925,moistening tendency
ptend_q0001_46_r2,0.3041600249803117,moistening tendency
ptend_q0003_24_r2,0.3045475289398757,cloud ice mixing ratio change over time
ptend_q0003_28_r2,0.3057134402242335,cloud ice mixing ratio change over time
ptend_u_34_r2,0.3074340598285812,zonal wind acceleration
ptend_q0001_50_r2,0.3080327713122875,moistening tendency
ptend_q0002_42_r2,0.3093332267922494,cloud liquid mixing ratio change over time
ptend_q0001_41_r2,0.3104778817017753,moistening tendency
ptend_q0002_52_r2,0.31439621163055215,cloud liquid mixing ratio change over time
ptend_q0003_22_r2,0.31471484873945654,cloud ice mixing ratio change over time
ptend_q0003_37_r2,0.314949936058618,cloud ice mixing ratio change over time
ptend_q0002_46_r2,0.3149606834456471,cloud liquid mixing ratio change over time
ptend_q0002_38_r2,0.3218210700839816,cloud liquid mixing ratio change over time
ptend_q0001_49_r2,0.3230110401907402,moistening tendency
ptend_q0003_40_r2,0.32667514319444674,cloud ice mixing ratio change over time
ptend_q0001_45_r2,0.32875649508517363,moistening tendency
ptend_q0001_44_r2,0.3306164437365028,moistening tendency
ptend_q0001_51_r2,0.331651418026304,moistening tendency
ptend_q0002_50_r2,0.3346346757350558,cloud liquid mixing ratio change over time
ptend_q0001_39_r2,0.33712155357514056,moistening tendency
ptend_u_37_r2,0.33916619129655085,zonal wind acceleration
ptend_q0002_32_r2,0.339234178899399,cloud liquid mixing ratio change over time
ptend_q0002_37_r2,0.33949746891802035,cloud liquid mixing ratio change over time
ptend_u_40_r2,0.3400368237363816,zonal wind acceleration
ptend_q0002_40_r2,0.3400617917850509,cloud liquid mixing ratio change over time
ptend_q0003_47_r2,0.3404678990611292,cloud ice mixing ratio change over time
ptend_q0002_41_r2,0.34069790323410964,cloud liquid mixing ratio change over time
ptend_q0003_34_r2,0.34174603978507145,cloud ice mixing ratio change over time
ptend_q0001_52_r2,0.3438868082255947,moistening tendency
ptend_u_31_r2,0.3440857627139379,zonal wind acceleration
ptend_q0002_48_r2,0.3481753809007712,cloud liquid mixing ratio change over time
ptend_q0002_45_r2,0.3487215179915232,cloud liquid mixing ratio change over time
ptend_q0002_47_r2,0.34972837897958636,cloud liquid mixing ratio change over time
ptend_u_44_r2,0.3507003296835175,zonal wind acceleration
ptend_u_43_r2,0.3508022886673695,zonal wind acceleration
ptend_u_42_r2,0.3508185066035449,zonal wind acceleration
ptend_q0002_51_r2,0.3533441706688305,cloud liquid mixing ratio change over time
ptend_u_45_r2,0.35742204277022793,zonal wind acceleration
ptend_q0003_35_r2,0.3589545000054891,cloud ice mixing ratio change over time
ptend_q0001_42_r2,0.36123869689932825,moistening tendency
ptend_q0001_53_r2,0.36136182327321986,moistening tendency
ptend_q0002_33_r2,0.36223314094752185,cloud liquid mixing ratio change over time
ptend_q0002_49_r2,0.3626478491766666,cloud liquid mixing ratio change over time
ptend_q0003_30_r2,0.37130122537741544,cloud ice mixing ratio change over time
ptend_q0003_48_r2,0.3713480907401439,cloud ice mixing ratio change over time
ptend_u_41_r2,0.3717902266398556,zonal wind acceleration
ptend_u_36_r2,0.37461257073019383,zonal wind acceleration
ptend_q0002_35_r2,0.37661749809695694,cloud liquid mixing ratio change over time
ptend_v_26_r2,0.37851835001712275,meridional wind acceleration
ptend_q0001_38_r2,0.37887762132710634,moistening tendency
ptend_u_25_r2,0.3817396311261808,zonal wind acceleration
ptend_q0003_36_r2,0.38255779328276485,cloud ice mixing ratio change over time
ptend_q0001_54_r2,0.3836377107593025,moistening tendency
