Var name,R2,Description
ptend_q0002_32_r2,0.20205149150041918,cloud liquid mixing ratio change over time
ptend_q0001_13_r2,0.21935784155927424,moistening tendency
ptend_q0002_31_r2,0.23212844395340132,cloud liquid mixing ratio change over time
ptend_v_15_r2,0.24768575365188975,meridional wind acceleration
ptend_q0002_33_r2,0.25088486684553474,cloud liquid mixing ratio change over time
ptend_q0002_35_r2,0.2777004233638085,cloud liquid mixing ratio change over time
ptend_q0002_34_r2,0.28922785818635016,cloud liquid mixing ratio change over time
ptend_q0001_50_r2,0.3071086283352284,moistening tendency
ptend_q0001_48_r2,0.307416008174822,moistening tendency
ptend_q0002_53_r2,0.3144078534581155,cloud liquid mixing ratio change over time
ptend_q0001_51_r2,0.3164948250755193,moistening tendency
ptend_q0002_52_r2,0.3168725060188758,cloud liquid mixing ratio change over time
ptend_q0001_49_r2,0.3176689050441472,moistening tendency
ptend_q0002_51_r2,0.3199666844950821,cloud liquid mixing ratio change over time
ptend_q0002_36_r2,0.32072321207720733,cloud liquid mixing ratio change over time
ptend_q0002_37_r2,0.32489555732374337,cloud liquid mixing ratio change over time
ptend_q0003_27_r2,0.3253638417490882,cloud ice mixing ratio change over time
ptend_q0001_52_r2,0.3255956973801442,moistening tendency
ptend_q0001_47_r2,0.32565478914534224,moistening tendency
ptend_q0003_28_r2,0.32630910399920177,cloud ice mixing ratio change over time
ptend_q0002_50_r2,0.3282032208869249,cloud liquid mixing ratio change over time
ptend_q0002_46_r2,0.3287292284559338,cloud liquid mixing ratio change over time
ptend_q0001_44_r2,0.3290874895113845,moistening tendency
ptend_q0002_44_r2,0.33054030531104917,cloud liquid mixing ratio change over time
ptend_q0002_48_r2,0.3313683742011131,cloud liquid mixing ratio change over time
ptend_q0001_46_r2,0.33202461537388533,moistening tendency
ptend_q0002_47_r2,0.3337542231054392,cloud liquid mixing ratio change over time
ptend_q0001_41_r2,0.3358488237987142,moistening tendency
ptend_q0002_49_r2,0.3359408225050472,cloud liquid mixing ratio change over time
ptend_q0002_43_r2,0.33660712238752055,cloud liquid mixing ratio change over time
ptend_q0001_43_r2,0.3368297987557639,moistening tendency
ptend_q0001_45_r2,0.33688892287485817,moistening tendency
ptend_q0001_53_r2,0.340522605453909,moistening tendency
ptend_q0001_42_r2,0.34336639796613716,moistening tendency
ptend_q0003_26_r2,0.343950653380636,cloud ice mixing ratio change over time
ptend_u_33_r2,0.34405247557467433,zonal wind acceleration
ptend_q0002_41_r2,0.34654486114129446,cloud liquid mixing ratio change over time
ptend_q0002_38_r2,0.34721746320160274,cloud liquid mixing ratio change over time
ptend_q0002_45_r2,0.3474857885995005,cloud liquid mixing ratio change over time
ptend_q0003_29_r2,0.34807017223107695,cloud ice mixing ratio change over time
ptend_q0002_54_r2,0.34968316816206746,cloud liquid mixing ratio change over time
ptend_q0001_40_r2,0.3516072452092594,moistening tendency
ptend_u_34_r2,0.3522679999569367,zonal wind acceleration
ptend_q0002_42_r2,0.3531332688577054,cloud liquid mixing ratio change over time
ptend_q0002_40_r2,0.35651820227713454,cloud liquid mixing ratio change over time
ptend_u_32_r2,0.3603918192091507,zonal wind acceleration
ptend_q0002_39_r2,0.3624220082897855,cloud liquid mixing ratio change over time
ptend_q0003_44_r2,0.3639901287734966,cloud ice mixing ratio change over time
ptend_u_36_r2,0.36625387572195645,zonal wind acceleration
ptend_q0001_54_r2,0.3702818586393922,moistening tendency
ptend_q0001_39_r2,0.37262558461025486,moistening tendency
ptend_q0003_25_r2,0.3740313501952912,cloud ice mixing ratio change over time
ptend_q0003_43_r2,0.37519641772438916,cloud ice mixing ratio change over time
ptend_q0003_42_r2,0.37819919682812336,cloud ice mixing ratio change over time
ptend_q0003_46_r2,0.37964720824844383,cloud ice mixing ratio change over time
ptend_u_31_r2,0.38017915311957645,zonal wind acceleration
ptend_u_35_r2,0.3809108064638534,zonal wind acceleration
ptend_q0003_45_r2,0.38133843403222095,cloud ice mixing ratio change over time
ptend_u_37_r2,0.3892760922936054,zonal wind acceleration
ptend_q0003_30_r2,0.39174890088284803,cloud ice mixing ratio change over time
