Var name,R2,Description
ptend_q0002_26_r2,-7770173906.426161,cloud liquid mixing ratio change over time
ptend_q0002_27_r2,-1046.6233771621064,cloud liquid mixing ratio change over time
ptend_v_26_r2,-4.01268033106664,meridional wind acceleration
ptend_q0002_28_r2,-3.7396459667784505,cloud liquid mixing ratio change over time
ptend_v_25_r2,-2.5165121773904304,meridional wind acceleration
ptend_v_29_r2,-2.412161831073882,meridional wind acceleration
ptend_q0001_14_r2,-2.2772207351034526,moistening tendency
ptend_v_28_r2,-2.071630932787589,meridional wind acceleration
ptend_v_30_r2,-2.041762858437136,meridional wind acceleration
ptend_v_31_r2,-1.5902391258565463,meridional wind acceleration
ptend_v_24_r2,-1.576874216456921,meridional wind acceleration
ptend_v_27_r2,-1.4615991597622393,meridional wind acceleration
ptend_v_34_r2,-1.1956495298178693,meridional wind acceleration
ptend_v_32_r2,-1.0801735111752524,meridional wind acceleration
ptend_v_33_r2,-1.0531617767469743,meridional wind acceleration
ptend_u_26_r2,-1.0499013408101596,zonal wind acceleration
ptend_v_35_r2,-0.9303188916429712,meridional wind acceleration
ptend_u_29_r2,-0.6711619140583078,zonal wind acceleration
ptend_u_25_r2,-0.6678724205965983,zonal wind acceleration
ptend_u_24_r2,-0.6553101100508657,zonal wind acceleration
ptend_u_30_r2,-0.6519435250824561,zonal wind acceleration
ptend_v_36_r2,-0.6423187063928002,meridional wind acceleration
ptend_v_21_r2,-0.5826531431564314,meridional wind acceleration
ptend_u_28_r2,-0.5640406746172827,zonal wind acceleration
ptend_v_23_r2,-0.5358135767163195,meridional wind acceleration
ptend_v_37_r2,-0.510843503216838,meridional wind acceleration
ptend_v_22_r2,-0.4346725000045688,meridional wind acceleration
ptend_v_16_r2,-0.41445733517839817,meridional wind acceleration
ptend_u_27_r2,-0.3400619082503907,zonal wind acceleration
ptend_v_13_r2,-0.3164113505221213,meridional wind acceleration
ptend_q0001_16_r2,-0.24740746954765433,moistening tendency
ptend_v_17_r2,-0.24359433180017978,meridional wind acceleration
ptend_v_18_r2,-0.23363833805192374,meridional wind acceleration
ptend_v_14_r2,-0.21621559901945875,meridional wind acceleration
ptend_v_38_r2,-0.16818938595450725,meridional wind acceleration
ptend_v_12_r2,-0.12827264336648359,meridional wind acceleration
ptend_v_44_r2,-0.08004790550911756,meridional wind acceleration
ptend_q0002_29_r2,-0.07382241842072963,cloud liquid mixing ratio change over time
ptend_v_39_r2,-0.07296970008719914,meridional wind acceleration
ptend_v_43_r2,-0.021914229837195893,meridional wind acceleration
ptend_v_19_r2,-0.006139655155643902,meridional wind acceleration
ptend_v_45_r2,-0.00043050470003955465,meridional wind acceleration
ptend_v_15_r2,0.022385658747538627,meridional wind acceleration
ptend_v_46_r2,0.025852112423077233,meridional wind acceleration
ptend_q0002_32_r2,0.02842063798374984,cloud liquid mixing ratio change over time
ptend_q0001_22_r2,0.03621714473378056,moistening tendency
ptend_u_22_r2,0.047565929241423964,zonal wind acceleration
ptend_v_40_r2,0.0652888810663568,meridional wind acceleration
ptend_u_15_r2,0.0690664281025712,zonal wind acceleration
ptend_v_42_r2,0.07645654451379241,meridional wind acceleration
ptend_q0003_15_r2,0.0893834474009574,cloud ice mixing ratio change over time
ptend_u_36_r2,0.09867576047461635,zonal wind acceleration
ptend_u_23_r2,0.12373632288137283,zonal wind acceleration
ptend_q0002_34_r2,0.1253305452433829,cloud liquid mixing ratio change over time
ptend_u_42_r2,0.1261905143435467,zonal wind acceleration
ptend_u_21_r2,0.1285756350636298,zonal wind acceleration
ptend_v_41_r2,0.1358440845458731,meridional wind acceleration
ptend_u_31_r2,0.1435312055302208,zonal wind acceleration
ptend_v_47_r2,0.14628553382276546,meridional wind acceleration
ptend_q0002_36_r2,0.14871123925379642,cloud liquid mixing ratio change over time
ptend_q0002_31_r2,0.1583998085497499,cloud liquid mixing ratio change over time
ptend_u_35_r2,0.16150084409810245,zonal wind acceleration
ptend_u_40_r2,0.16482332676855932,zonal wind acceleration
ptend_v_20_r2,0.16861433914468055,meridional wind acceleration
ptend_u_41_r2,0.18520481260729135,zonal wind acceleration
ptend_u_44_r2,0.18632859697040013,zonal wind acceleration
ptend_q0002_37_r2,0.18961895558812517,cloud liquid mixing ratio change over time
ptend_u_39_r2,0.19548517389626546,zonal wind acceleration
ptend_u_43_r2,0.19636759834592463,zonal wind acceleration
ptend_v_48_r2,0.19731205537379215,meridional wind acceleration
ptend_u_37_r2,0.21900855536311484,zonal wind acceleration
ptend_q0002_33_r2,0.2199381235098413,cloud liquid mixing ratio change over time
ptend_u_47_r2,0.22383421400963235,zonal wind acceleration
ptend_q0002_54_r2,0.2279096128093574,cloud liquid mixing ratio change over time
ptend_q0002_35_r2,0.2305270822570573,cloud liquid mixing ratio change over time
ptend_u_46_r2,0.23655100684648142,zonal wind acceleration
ptend_q0003_27_r2,0.23764471516813027,cloud ice mixing ratio change over time
ptend_u_14_r2,0.24737895771313523,zonal wind acceleration
ptend_v_49_r2,0.24799380180197036,meridional wind acceleration
ptend_v_50_r2,0.250226724463603,meridional wind acceleration
ptend_u_45_r2,0.2534865246353509,zonal wind acceleration
ptend_q0001_50_r2,0.25374614985385785,moistening tendency
ptend_q0001_51_r2,0.2544403725846649,moistening tendency
ptend_u_49_r2,0.2556103237436977,zonal wind acceleration
