Var name,R2,Description
ptend_q0002_24_r2,-940358.8456976085,cloud liquid mixing ratio change over time
ptend_u_19_r2,-0.5526696553069013,zonal wind acceleration
ptend_u_27_r2,-0.5279243817201643,zonal wind acceleration
ptend_u_21_r2,-0.5245195283307861,zonal wind acceleration
ptend_u_22_r2,-0.486852630369076,zonal wind acceleration
ptend_u_28_r2,-0.4574550003980575,zonal wind acceleration
ptend_v_12_r2,-0.4376091252059693,meridional wind acceleration
ptend_q0001_16_r2,-0.4139156653478838,moistening tendency
ptend_q0003_22_r2,-0.38728115952830783,cloud ice mixing ratio change over time
ptend_u_29_r2,-0.37042485160182004,zonal wind acceleration
ptend_u_26_r2,-0.3631690139131669,zonal wind acceleration
ptend_u_24_r2,-0.3626339791510018,zonal wind acceleration
ptend_v_31_r2,-0.360213905861962,meridional wind acceleration
ptend_u_23_r2,-0.3536006347451915,zonal wind acceleration
ptend_v_29_r2,-0.3030979805938663,meridional wind acceleration
ptend_v_30_r2,-0.29888986257896716,meridional wind acceleration
ptend_q0002_30_r2,-0.2939247803892126,cloud liquid mixing ratio change over time
ptend_q0003_23_r2,-0.24838027776974014,cloud ice mixing ratio change over time
ptend_v_32_r2,-0.23490321244959864,meridional wind acceleration
ptend_q0003_48_r2,-0.22636349086897845,cloud ice mixing ratio change over time
ptend_q0003_49_r2,-0.22256790590621958,cloud ice mixing ratio change over time
ptend_q0003_58_r2,-0.2128099204330302,cloud ice mixing ratio change over time
ptend_q0003_50_r2,-0.21078755411977812,cloud ice mixing ratio change over time
ptend_u_12_r2,-0.20922406097909937,zonal wind acceleration
ptend_u_20_r2,-0.19182480862444207,zonal wind acceleration
ptend_u_30_r2,-0.184236286795169,zonal wind acceleration
ptend_q0001_40_r2,-0.18124792677124144,moistening tendency
ptend_q0003_25_r2,-0.18119717502412214,cloud ice mixing ratio change over time
ptend_q0003_26_r2,-0.1803465536710196,cloud ice mixing ratio change over time
ptend_q0001_39_r2,-0.17716714051861593,moistening tendency
ptend_q0001_38_r2,-0.16951785394138086,moistening tendency
ptend_u_25_r2,-0.16632799756144176,zonal wind acceleration
ptend_u_40_r2,-0.16330604320795206,zonal wind acceleration
ptend_q0001_41_r2,-0.16000280186469795,moistening tendency
ptend_q0001_44_r2,-0.15951056752339365,moistening tendency
ptend_q0001_42_r2,-0.1527273796630788,moistening tendency
ptend_q0003_55_r2,-0.14919395507406333,cloud ice mixing ratio change over time
ptend_q0003_43_r2,-0.1491467408149283,cloud ice mixing ratio change over time
ptend_q0003_51_r2,-0.14834743687784102,cloud ice mixing ratio change over time
ptend_u_39_r2,-0.14765743849523516,zonal wind acceleration
