Var name,R2,Description
ptend_q0002_24_r2,-89188456.50636192,cloud liquid mixing ratio change over time
ptend_q0003_18_r2,-1.7351981489093788,cloud ice mixing ratio change over time
ptend_q0003_14_r2,-1.538410504958944,cloud ice mixing ratio change over time
ptend_q0002_28_r2,-1.2088555323125838,cloud liquid mixing ratio change over time
ptend_q0002_29_r2,-1.177831817255251,cloud liquid mixing ratio change over time
ptend_v_22_r2,-1.0352278312637875,meridional wind acceleration
ptend_q0002_30_r2,-0.9999429781674493,cloud liquid mixing ratio change over time
ptend_v_36_r2,-0.8915896676128936,meridional wind acceleration
ptend_v_37_r2,-0.8737435688508398,meridional wind acceleration
ptend_q0001_21_r2,-0.8549910045797847,moistening tendency
ptend_v_35_r2,-0.8388562232894147,meridional wind acceleration
ptend_q0001_20_r2,-0.7809058373675708,moistening tendency
ptend_q0001_13_r2,-0.7530449388577517,moistening tendency
ptend_v_38_r2,-0.6983120584663807,meridional wind acceleration
ptend_q0001_22_r2,-0.6931712708459099,moistening tendency
ptend_v_34_r2,-0.6862501016680296,meridional wind acceleration
ptend_q0002_31_r2,-0.6787829696359883,cloud liquid mixing ratio change over time
ptend_v_33_r2,-0.6613024225552313,meridional wind acceleration
ptend_t_18_r2,-0.6608843635829436,heating tendency
ptend_v_23_r2,-0.6569515443946075,meridional wind acceleration
ptend_q0001_15_r2,-0.6297186660056778,moistening tendency
ptend_v_24_r2,-0.6074984496929795,meridional wind acceleration
ptend_v_25_r2,-0.5982062458190686,meridional wind acceleration
ptend_u_48_r2,-0.5719492710357474,zonal wind acceleration
ptend_v_45_r2,-0.563031524646163,meridional wind acceleration
ptend_q0003_19_r2,-0.5553275002654705,cloud ice mixing ratio change over time
ptend_v_32_r2,-0.5484758908443982,meridional wind acceleration
ptend_v_39_r2,-0.5346013275097664,meridional wind acceleration
ptend_v_44_r2,-0.5295469818678518,meridional wind acceleration
ptend_u_37_r2,-0.5292805526737099,zonal wind acceleration
ptend_u_56_r2,-0.5165559601208073,zonal wind acceleration
ptend_v_46_r2,-0.510575347880529,meridional wind acceleration
ptend_u_36_r2,-0.505793921776412,zonal wind acceleration
ptend_v_19_r2,-0.5007135692822384,meridional wind acceleration
ptend_v_20_r2,-0.4947248108553701,meridional wind acceleration
ptend_v_26_r2,-0.49164415015886315,meridional wind acceleration
ptend_v_16_r2,-0.47984339709724144,meridional wind acceleration
ptend_u_47_r2,-0.476756304481436,zonal wind acceleration
ptend_u_39_r2,-0.46520881229884115,zonal wind acceleration
ptend_u_49_r2,-0.46335078841774685,zonal wind acceleration
ptend_u_53_r2,-0.45903044962299056,zonal wind acceleration
ptend_u_34_r2,-0.45340419848526015,zonal wind acceleration
ptend_u_32_r2,-0.42973971911469616,zonal wind acceleration
ptend_u_38_r2,-0.42166408569929464,zonal wind acceleration
ptend_v_21_r2,-0.41739525828393464,meridional wind acceleration
