Var name,R2,Description
ptend_q0002_24_r2,-4371787.594801305,cloud liquid mixing ratio change over time
ptend_q0002_25_r2,-2.6376929275399874,cloud liquid mixing ratio change over time
ptend_u_12_r2,-0.5363781299289846,zonal wind acceleration
ptend_v_23_r2,-0.4798889558230935,meridional wind acceleration
ptend_q0003_17_r2,-0.40664066568406526,cloud ice mixing ratio change over time
ptend_q0003_18_r2,-0.3343116550107596,cloud ice mixing ratio change over time
ptend_v_28_r2,-0.3231137423957646,meridional wind acceleration
ptend_v_27_r2,-0.30604801009507954,meridional wind acceleration
ptend_v_22_r2,-0.27444155395610575,meridional wind acceleration
ptend_v_26_r2,-0.20447340124085403,meridional wind acceleration
ptend_u_21_r2,-0.20306486162930773,zonal wind acceleration
ptend_q0003_24_r2,-0.19475504674091992,cloud ice mixing ratio change over time
ptend_q0003_21_r2,-0.18992129638662117,cloud ice mixing ratio change over time
ptend_v_30_r2,-0.18609116405067624,meridional wind acceleration
ptend_q0003_23_r2,-0.1854222805434894,cloud ice mixing ratio change over time
ptend_u_26_r2,-0.1827031515138707,zonal wind acceleration
ptend_v_29_r2,-0.17930269439168114,meridional wind acceleration
ptend_q0001_14_r2,-0.17433786501048856,moistening tendency
ptend_v_12_r2,-0.1710083978308172,meridional wind acceleration
ptend_u_13_r2,-0.17011696791225844,zonal wind acceleration
ptend_v_31_r2,-0.1622038613841971,meridional wind acceleration
ptend_u_23_r2,-0.1617665120852662,zonal wind acceleration
ptend_u_22_r2,-0.15351800682052802,zonal wind acceleration
ptend_q0003_25_r2,-0.1495058933255639,cloud ice mixing ratio change over time
ptend_q0003_22_r2,-0.14449587713736245,cloud ice mixing ratio change over time
ptend_u_20_r2,-0.13839614242278317,zonal wind acceleration
ptend_q0003_20_r2,-0.10217138031320536,cloud ice mixing ratio change over time
ptend_q0003_19_r2,-0.09683298215219704,cloud ice mixing ratio change over time
ptend_q0003_26_r2,-0.07825407397751227,cloud ice mixing ratio change over time
ptend_v_24_r2,-0.07638564242123012,meridional wind acceleration
ptend_u_27_r2,-0.07492671625812942,zonal wind acceleration
ptend_v_34_r2,-0.06161441755328802,meridional wind acceleration
ptend_u_24_r2,-0.0508736494363403,zonal wind acceleration
ptend_q0001_15_r2,-0.05071154108753681,moistening tendency
ptend_v_32_r2,-0.04848287359491146,meridional wind acceleration
ptend_u_25_r2,-0.04167030762855181,zonal wind acceleration
ptend_v_13_r2,-0.040081234925153995,meridional wind acceleration
ptend_v_33_r2,-0.03465215489651797,meridional wind acceleration
ptend_u_29_r2,-0.029250781492375998,zonal wind acceleration
ptend_u_30_r2,-0.019731586051017123,zonal wind acceleration
ptend_u_28_r2,-0.008729690511873646,zonal wind acceleration
ptend_v_20_r2,0.003147686434346611,meridional wind acceleration
ptend_v_21_r2,0.00492092183014485,meridional wind acceleration
ptend_v_25_r2,0.009989481556532606,meridional wind acceleration
ptend_q0003_27_r2,0.025844251809772876,cloud ice mixing ratio change over time
ptend_v_35_r2,0.026890780954210193,meridional wind acceleration
ptend_u_14_r2,0.03766118465803204,zonal wind acceleration
ptend_q0001_18_r2,0.04210702476713725,moistening tendency
ptend_u_31_r2,0.0471731642488574,zonal wind acceleration
ptend_u_32_r2,0.04784037897871089,zonal wind acceleration
ptend_u_33_r2,0.05489811184309663,zonal wind acceleration
ptend_u_17_r2,0.07216339906289673,zonal wind acceleration
ptend_t_19_r2,0.07372268879486218,heating tendency
ptend_u_15_r2,0.07689416467249564,zonal wind acceleration
ptend_u_16_r2,0.08021361259870843,zonal wind acceleration
ptend_q0003_29_r2,0.08666855171434058,cloud ice mixing ratio change over time
ptend_q0003_28_r2,0.08925298812447593,cloud ice mixing ratio change over time
ptend_v_14_r2,0.09566544307878078,meridional wind acceleration
ptend_u_34_r2,0.0964014673264672,zonal wind acceleration
ptend_u_35_r2,0.11377284627107559,zonal wind acceleration
ptend_q0003_46_r2,0.12085304667259644,cloud ice mixing ratio change over time
ptend_v_19_r2,0.12117084517251386,meridional wind acceleration
ptend_q0001_42_r2,0.12510355140825,moistening tendency
ptend_q0003_44_r2,0.12580790543497153,cloud ice mixing ratio change over time
ptend_q0001_49_r2,0.13103444487171279,moistening tendency
ptend_q0001_45_r2,0.13103639913909573,moistening tendency
ptend_q0001_50_r2,0.13104302545316435,moistening tendency
ptend_q0002_42_r2,0.1311568042097471,cloud liquid mixing ratio change over time
ptend_q0001_46_r2,0.13222914504671734,moistening tendency
ptend_q0001_47_r2,0.13388068575650997,moistening tendency
ptend_q0001_48_r2,0.13473795494702812,moistening tendency
ptend_q0002_43_r2,0.1369862526763192,cloud liquid mixing ratio change over time
ptend_q0001_43_r2,0.13792524491628189,moistening tendency
ptend_q0001_41_r2,0.140858300527894,moistening tendency
ptend_q0003_30_r2,0.14226091986551762,cloud ice mixing ratio change over time
ptend_q0002_45_r2,0.14254562590819506,cloud liquid mixing ratio change over time
ptend_q0001_44_r2,0.14267523313685646,moistening tendency
ptend_q0002_44_r2,0.14401749314289425,cloud liquid mixing ratio change over time
ptend_q0003_45_r2,0.14485163666336484,cloud ice mixing ratio change over time
ptend_q0003_43_r2,0.14686311692872953,cloud ice mixing ratio change over time
ptend_q0001_40_r2,0.1490114134326902,moistening tendency
ptend_q0001_51_r2,0.15245002022832313,moistening tendency
ptend_q0002_40_r2,0.15456650664433752,cloud liquid mixing ratio change over time
ptend_q0003_47_r2,0.15626766992539828,cloud ice mixing ratio change over time
ptend_q0002_41_r2,0.16271712732946347,cloud liquid mixing ratio change over time
ptend_u_41_r2,0.16374077797643016,zonal wind acceleration
