Var name,R2,Description
cam_out_NETSW_r2,-1100.930005829465,net shortwave flux at surface
cam_out_SOLL_r2,-555.0271966640623,downward near-infrared direct solar flux to surface
cam_out_SOLS_r2,-366.33282151097484,downward visible direct solar flux to surface
cam_out_SOLLD_r2,-107.93578184071093,downward diffuse near-infrared solar flux to surface
cam_out_FLWDS_r2,-102.1715982015963,ownward longwave flux at surface
cam_out_SOLSD_r2,-96.77515176747633,downward diffuse solar flux to surface
ptend_t_48_r2,0.9999999979964191,heating tendency
ptend_t_47_r2,0.9999999980111727,heating tendency
ptend_t_49_r2,0.9999999980291243,heating tendency
ptend_t_46_r2,0.9999999980573432,heating tendency
ptend_t_45_r2,0.999999998110554,heating tendency
ptend_t_50_r2,0.9999999981116768,heating tendency
ptend_t_44_r2,0.9999999982119476,heating tendency
ptend_t_51_r2,0.9999999982249664,heating tendency
ptend_t_43_r2,0.9999999982850596,heating tendency
ptend_t_52_r2,0.9999999983322957,heating tendency
ptend_t_42_r2,0.9999999984011618,heating tendency
ptend_t_59_r2,0.9999999984129764,heating tendency
ptend_t_53_r2,0.9999999984717228,heating tendency
ptend_t_41_r2,0.9999999985041327,heating tendency
ptend_t_54_r2,0.9999999986074256,heating tendency
ptend_t_40_r2,0.9999999986277626,heating tendency
ptend_t_55_r2,0.9999999987108674,heating tendency
ptend_t_58_r2,0.9999999987268312,heating tendency
ptend_t_39_r2,0.9999999987348986,heating tendency
ptend_t_56_r2,0.9999999987731366,heating tendency
ptend_t_57_r2,0.9999999987947349,heating tendency
ptend_t_38_r2,0.9999999988075121,heating tendency
ptend_t_37_r2,0.9999999989092511,heating tendency
ptend_t_36_r2,0.9999999990213062,heating tendency
ptend_t_35_r2,0.9999999990961507,heating tendency
ptend_t_34_r2,0.999999999223351,heating tendency
ptend_t_33_r2,0.9999999993246607,heating tendency
ptend_t_32_r2,0.9999999993866774,heating tendency
ptend_u_19_r2,0.9999999994705437,zonal wind acceleration
ptend_t_31_r2,0.9999999994932859,heating tendency
ptend_t_30_r2,0.9999999995887843,heating tendency
ptend_t_29_r2,0.9999999996704393,heating tendency
ptend_t_28_r2,0.9999999997246181,heating tendency
ptend_u_59_r2,0.9999999997282774,zonal wind acceleration
ptend_u_58_r2,0.9999999997497782,zonal wind acceleration
ptend_t_27_r2,0.9999999997649424,heating tendency
ptend_u_56_r2,0.9999999997787622,zonal wind acceleration
ptend_u_55_r2,0.9999999997822564,zonal wind acceleration
ptend_u_57_r2,0.9999999997842901,zonal wind acceleration
ptend_t_26_r2,0.9999999997885849,heating tendency
ptend_t_25_r2,0.9999999998046605,heating tendency
ptend_u_54_r2,0.9999999998081548,zonal wind acceleration
ptend_u_53_r2,0.9999999998234903,zonal wind acceleration
ptend_u_52_r2,0.9999999998276357,zonal wind acceleration
ptend_t_24_r2,0.9999999998296659,heating tendency
ptend_u_51_r2,0.9999999998326724,zonal wind acceleration
ptend_u_20_r2,0.9999999998347148,zonal wind acceleration
ptend_u_50_r2,0.9999999998372072,zonal wind acceleration
ptend_u_49_r2,0.9999999998423662,zonal wind acceleration
ptend_t_23_r2,0.9999999998486602,heating tendency
ptend_v_23_r2,0.9999999998497545,meridional wind acceleration
ptend_u_48_r2,0.9999999998500043,zonal wind acceleration
ptend_v_21_r2,0.9999999998500049,meridional wind acceleration
ptend_v_59_r2,0.9999999998504477,meridional wind acceleration
ptend_t_0_r2,0.9999999998522,heating tendency
ptend_u_47_r2,0.9999999998566643,zonal wind acceleration
ptend_u_21_r2,0.9999999998567732,zonal wind acceleration
ptend_u_46_r2,0.9999999998599254,zonal wind acceleration
ptend_v_22_r2,0.9999999998609116,meridional wind acceleration
ptend_v_56_r2,0.9999999998630834,meridional wind acceleration
ptend_v_20_r2,0.999999999863428,meridional wind acceleration
ptend_t_22_r2,0.9999999998651599,heating tendency
ptend_v_57_r2,0.9999999998653794,meridional wind acceleration
ptend_t_19_r2,0.999999999867817,heating tendency
ptend_v_55_r2,0.9999999998697785,meridional wind acceleration
ptend_u_45_r2,0.9999999998700103,zonal wind acceleration
ptend_v_54_r2,0.9999999998721792,meridional wind acceleration
ptend_v_58_r2,0.9999999998738573,meridional wind acceleration
ptend_u_22_r2,0.9999999998762348,zonal wind acceleration
ptend_v_53_r2,0.9999999998767276,meridional wind acceleration
ptend_t_21_r2,0.9999999998785343,heating tendency
ptend_v_19_r2,0.9999999998809473,meridional wind acceleration
ptend_v_52_r2,0.9999999998809537,meridional wind acceleration
ptend_u_23_r2,0.9999999998838895,zonal wind acceleration
ptend_u_44_r2,0.9999999998853265,zonal wind acceleration
ptend_t_20_r2,0.9999999998884935,heating tendency
ptend_v_51_r2,0.9999999998914374,meridional wind acceleration
ptend_t_1_r2,0.9999999998917395,heating tendency
ptend_v_50_r2,0.9999999998956534,meridional wind acceleration
ptend_u_43_r2,0.9999999998976922,zonal wind acceleration
ptend_v_49_r2,0.9999999999012412,meridional wind acceleration
ptend_u_24_r2,0.9999999999012553,zonal wind acceleration
ptend_v_24_r2,0.9999999999034616,meridional wind acceleration
ptend_u_42_r2,0.9999999999072093,zonal wind acceleration
ptend_v_48_r2,0.9999999999084023,meridional wind acceleration
ptend_v_25_r2,0.9999999999138882,meridional wind acceleration
ptend_u_25_r2,0.9999999999159699,zonal wind acceleration
ptend_v_47_r2,0.9999999999165714,meridional wind acceleration
ptend_u_41_r2,0.999999999917107,zonal wind acceleration
ptend_t_5_r2,0.9999999999222702,heating tendency
ptend_u_40_r2,0.9999999999235891,zonal wind acceleration
ptend_v_46_r2,0.9999999999240655,meridional wind acceleration
ptend_u_26_r2,0.9999999999244646,zonal wind acceleration
ptend_t_18_r2,0.9999999999252817,heating tendency
ptend_u_18_r2,0.9999999999272065,zonal wind acceleration
ptend_t_2_r2,0.9999999999294922,heating tendency
ptend_u_39_r2,0.9999999999309692,zonal wind acceleration
ptend_v_26_r2,0.9999999999338582,meridional wind acceleration
