Var name,R2,Description
ptend_u_18_r2,0.31422584053283376,zonal wind acceleration
ptend_q0001_49_r2,0.31759870923935785,moistening tendency
ptend_q0001_50_r2,0.31761924325379925,moistening tendency
ptend_q0001_51_r2,0.32554064057794374,moistening tendency
ptend_q0001_48_r2,0.3259944835738359,moistening tendency
ptend_q0001_52_r2,0.33907131728606693,moistening tendency
ptend_q0001_47_r2,0.3391159907098423,moistening tendency
ptend_q0002_51_r2,0.3411007547368362,cloud liquid mixing ratio change over time
ptend_q0002_31_r2,0.3420494140098523,cloud liquid mixing ratio change over time
ptend_q0002_52_r2,0.34478252648257435,cloud liquid mixing ratio change over time
ptend_q0002_50_r2,0.3470696500832229,cloud liquid mixing ratio change over time
ptend_q0002_32_r2,0.3480018275290005,cloud liquid mixing ratio change over time
ptend_q0002_53_r2,0.3520412539850936,cloud liquid mixing ratio change over time
ptend_q0001_46_r2,0.35281978645603507,moistening tendency
ptend_q0002_45_r2,0.3532983868961534,cloud liquid mixing ratio change over time
ptend_q0002_49_r2,0.35492258394886855,cloud liquid mixing ratio change over time
ptend_q0002_46_r2,0.3563824080070014,cloud liquid mixing ratio change over time
ptend_q0002_48_r2,0.3579510647637909,cloud liquid mixing ratio change over time
ptend_q0002_44_r2,0.3585371351285154,cloud liquid mixing ratio change over time
ptend_q0002_47_r2,0.3586906896252774,cloud liquid mixing ratio change over time
ptend_q0001_43_r2,0.35884153542363145,moistening tendency
ptend_q0001_45_r2,0.3592103086733081,moistening tendency
ptend_q0001_44_r2,0.361172726177269,moistening tendency
ptend_q0001_41_r2,0.36281161913095605,moistening tendency
ptend_q0001_53_r2,0.36501960928522437,moistening tendency
ptend_q0001_42_r2,0.3659769316698352,moistening tendency
ptend_q0002_43_r2,0.3679460227356837,cloud liquid mixing ratio change over time
ptend_q0002_41_r2,0.3725413980463555,cloud liquid mixing ratio change over time
ptend_q0002_40_r2,0.3730777800786155,cloud liquid mixing ratio change over time
ptend_q0001_40_r2,0.37373220464372736,moistening tendency
ptend_q0002_33_r2,0.3738064950239086,cloud liquid mixing ratio change over time
ptend_q0002_39_r2,0.37748169288713296,cloud liquid mixing ratio change over time
ptend_q0002_38_r2,0.3780487358523041,cloud liquid mixing ratio change over time
ptend_q0002_42_r2,0.37822152033588946,cloud liquid mixing ratio change over time
