Var name,R2,Description
ptend_q0001_49_r2,0.3280977927313222,moistening tendency
ptend_q0001_50_r2,0.3282950082775459,moistening tendency
ptend_q0001_48_r2,0.3356273150240951,moistening tendency
ptend_q0001_51_r2,0.3359631759502624,moistening tendency
ptend_q0001_47_r2,0.3482752721111536,moistening tendency
ptend_q0001_52_r2,0.3489488651373921,moistening tendency
ptend_q0002_51_r2,0.3547955295355709,cloud liquid mixing ratio change over time
ptend_u_18_r2,0.35718149232437907,zonal wind acceleration
ptend_q0002_50_r2,0.36003075884182034,cloud liquid mixing ratio change over time
ptend_q0002_52_r2,0.3602926618947331,cloud liquid mixing ratio change over time
ptend_q0001_46_r2,0.3615207968097786,moistening tendency
ptend_q0002_45_r2,0.3653422872064392,cloud liquid mixing ratio change over time
ptend_q0002_49_r2,0.36601892105306444,cloud liquid mixing ratio change over time
ptend_q0002_46_r2,0.3661109619196497,cloud liquid mixing ratio change over time
ptend_q0002_47_r2,0.3681879892253994,cloud liquid mixing ratio change over time
ptend_q0001_45_r2,0.36829100998167263,moistening tendency
ptend_q0002_48_r2,0.3683521007233811,cloud liquid mixing ratio change over time
ptend_q0002_31_r2,0.3695650140703387,cloud liquid mixing ratio change over time
ptend_q0001_43_r2,0.3701218978701402,moistening tendency
ptend_q0002_53_r2,0.3710722592315329,cloud liquid mixing ratio change over time
ptend_q0002_44_r2,0.37156424574640856,cloud liquid mixing ratio change over time
ptend_q0001_44_r2,0.3716849918352293,moistening tendency
ptend_q0001_53_r2,0.3744936006924429,moistening tendency
ptend_q0002_32_r2,0.3753122115859938,cloud liquid mixing ratio change over time
ptend_q0001_41_r2,0.37595014622554634,moistening tendency
ptend_q0001_42_r2,0.3777555955605019,moistening tendency
ptend_q0002_43_r2,0.38048724558821956,cloud liquid mixing ratio change over time
ptend_q0002_41_r2,0.38541787949885636,cloud liquid mixing ratio change over time
ptend_q0002_40_r2,0.3861995306819097,cloud liquid mixing ratio change over time
ptend_q0001_40_r2,0.3864225085281854,moistening tendency
ptend_q0002_42_r2,0.3914259899469502,cloud liquid mixing ratio change over time
ptend_q0002_39_r2,0.3925910395933492,cloud liquid mixing ratio change over time
ptend_q0002_38_r2,0.39359763168063744,cloud liquid mixing ratio change over time
ptend_q0002_33_r2,0.3944207569501715,cloud liquid mixing ratio change over time
ptend_q0001_54_r2,0.39943732989226627,moistening tendency
ptend_q0002_37_r2,0.40073062388411373,cloud liquid mixing ratio change over time
ptend_q0002_36_r2,0.4022040472010425,cloud liquid mixing ratio change over time
ptend_q0002_34_r2,0.4049300173036925,cloud liquid mixing ratio change over time
ptend_q0002_35_r2,0.40514012635347074,cloud liquid mixing ratio change over time
ptend_q0001_39_r2,0.406438235423387,moistening tendency
ptend_q0002_54_r2,0.41406399940843136,cloud liquid mixing ratio change over time
ptend_q0001_55_r2,0.42255241707813196,moistening tendency
ptend_t_19_r2,0.4255505302742551,heating tendency
ptend_t_51_r2,0.43722410725781563,heating tendency
ptend_q0001_38_r2,0.4385964601444851,moistening tendency
ptend_q0003_44_r2,0.4389932784554878,cloud ice mixing ratio change over time
ptend_t_52_r2,0.4392805635802089,heating tendency
ptend_t_50_r2,0.4409546803297454,heating tendency
ptend_t_18_r2,0.4412316011698171,heating tendency
ptend_q0003_28_r2,0.4415546737217477,cloud ice mixing ratio change over time
ptend_u_34_r2,0.4436756050490219,zonal wind acceleration
ptend_q0003_27_r2,0.4444578753760175,cloud ice mixing ratio change over time
ptend_u_35_r2,0.4446679742363838,zonal wind acceleration
ptend_t_53_r2,0.44591244327819335,heating tendency
ptend_q0003_43_r2,0.4489331648102782,cloud ice mixing ratio change over time
ptend_q0003_45_r2,0.44964779254828413,cloud ice mixing ratio change over time
ptend_t_49_r2,0.45086985509248506,heating tendency
ptend_t_54_r2,0.4542754587034743,heating tendency
ptend_q0001_19_r2,0.45706459433682456,moistening tendency
ptend_u_36_r2,0.45730803077933946,zonal wind acceleration
ptend_u_33_r2,0.4583621580179984,zonal wind acceleration
ptend_q0003_26_r2,0.4633966644748275,cloud ice mixing ratio change over time
ptend_t_48_r2,0.46447690198409997,heating tendency
ptend_q0003_46_r2,0.465342154020969,cloud ice mixing ratio change over time
ptend_t_55_r2,0.467686753608472,heating tendency
ptend_q0003_29_r2,0.46852646587748153,cloud ice mixing ratio change over time
ptend_t_20_r2,0.47286409104284416,heating tendency
ptend_q0003_42_r2,0.47581409855085044,cloud ice mixing ratio change over time
ptend_q0001_56_r2,0.4792687414117067,moistening tendency
ptend_q0001_37_r2,0.47940444227060114,moistening tendency
ptend_q0003_24_r2,0.48338720000949587,cloud ice mixing ratio change over time
ptend_t_47_r2,0.48347108791392623,heating tendency
ptend_u_32_r2,0.484747154174167,zonal wind acceleration
ptend_q0003_25_r2,0.48507509519527975,cloud ice mixing ratio change over time
ptend_u_42_r2,0.4859967324286744,zonal wind acceleration
ptend_q0003_23_r2,0.48623969388491445,cloud ice mixing ratio change over time
ptend_t_56_r2,0.48733798580246895,heating tendency
ptend_u_41_r2,0.48801333179906253,zonal wind acceleration
ptend_q0003_47_r2,0.48808532513157876,cloud ice mixing ratio change over time
ptend_u_43_r2,0.4882733813387084,zonal wind acceleration
ptend_u_37_r2,0.49158259099718793,zonal wind acceleration
ptend_q0003_41_r2,0.49486125441360934,cloud ice mixing ratio change over time
ptend_t_57_r2,0.49882076841465006,heating tendency
ptend_u_40_r2,0.4997462000254294,zonal wind acceleration
ptend_u_39_r2,0.5017870925683383,zonal wind acceleration
ptend_u_38_r2,0.501799558117893,zonal wind acceleration
ptend_q0003_22_r2,0.5020456577448144,cloud ice mixing ratio change over time
ptend_q0002_55_r2,0.5027764340996632,cloud liquid mixing ratio change over time
ptend_q0003_30_r2,0.5036599704474407,cloud ice mixing ratio change over time
ptend_u_44_r2,0.5067012377034774,zonal wind acceleration
ptend_u_31_r2,0.508524297884612,zonal wind acceleration
ptend_t_46_r2,0.5097139247107789,heating tendency
