Var name,R2,Description
ptend_q0001_19_r2,0.2285131586692113,moistening tendency
ptend_q0001_18_r2,0.2821191539502593,moistening tendency
ptend_q0001_50_r2,0.3351820124244593,moistening tendency
ptend_q0001_48_r2,0.3358368596422092,moistening tendency
ptend_q0001_51_r2,0.3360943013315202,moistening tendency
ptend_q0001_49_r2,0.33841457031469985,moistening tendency
ptend_q0001_52_r2,0.3436020383710313,moistening tendency
ptend_q0001_47_r2,0.3458669568448521,moistening tendency
ptend_q0001_46_r2,0.3566959074927662,moistening tendency
ptend_q0002_51_r2,0.3619950943625777,cloud liquid mixing ratio change over time
ptend_q0002_52_r2,0.3656867073868672,cloud liquid mixing ratio change over time
ptend_q0001_43_r2,0.37020333747931883,moistening tendency
ptend_q0001_53_r2,0.3703560738493644,moistening tendency
ptend_q0002_50_r2,0.371142123152078,cloud liquid mixing ratio change over time
ptend_q0001_44_r2,0.37265989311793,moistening tendency
ptend_q0002_49_r2,0.3728074733812553,cloud liquid mixing ratio change over time
ptend_q0002_44_r2,0.3759241363753509,cloud liquid mixing ratio change over time
ptend_q0001_45_r2,0.3771962684931427,moistening tendency
ptend_q0002_43_r2,0.38002039902548307,cloud liquid mixing ratio change over time
ptend_q0002_45_r2,0.38253635887677223,cloud liquid mixing ratio change over time
ptend_q0002_46_r2,0.38263100863868243,cloud liquid mixing ratio change over time
ptend_q0002_47_r2,0.3834662515412605,cloud liquid mixing ratio change over time
ptend_q0002_48_r2,0.38401033735263024,cloud liquid mixing ratio change over time
ptend_q0002_53_r2,0.3846893664439468,cloud liquid mixing ratio change over time
ptend_q0001_41_r2,0.3864095280885737,moistening tendency
ptend_q0001_42_r2,0.3907592212344287,moistening tendency
ptend_q0002_32_r2,0.3985738318485243,cloud liquid mixing ratio change over time
ptend_q0002_36_r2,0.398837075513341,cloud liquid mixing ratio change over time
ptend_q0002_37_r2,0.39892602781511116,cloud liquid mixing ratio change over time
ptend_q0002_40_r2,0.4016311129398071,cloud liquid mixing ratio change over time
ptend_q0001_54_r2,0.40356339496017435,moistening tendency
ptend_q0002_42_r2,0.4039736460427656,cloud liquid mixing ratio change over time
ptend_q0002_41_r2,0.41014836739304095,cloud liquid mixing ratio change over time
ptend_q0002_38_r2,0.4101634177843943,cloud liquid mixing ratio change over time
ptend_q0002_35_r2,0.4106301096015071,cloud liquid mixing ratio change over time
ptend_q0002_39_r2,0.41504562315845006,cloud liquid mixing ratio change over time
ptend_q0001_40_r2,0.41550691638825066,moistening tendency
ptend_q0002_54_r2,0.42313005036721335,cloud liquid mixing ratio change over time
ptend_q0002_34_r2,0.4252659364425556,cloud liquid mixing ratio change over time
ptend_q0002_33_r2,0.4286779436824638,cloud liquid mixing ratio change over time
ptend_q0003_27_r2,0.43058351342561535,cloud ice mixing ratio change over time
ptend_q0001_55_r2,0.43084033754844064,moistening tendency
ptend_t_51_r2,0.44364265020914945,heating tendency
ptend_q0003_26_r2,0.443723302924883,cloud ice mixing ratio change over time
ptend_t_52_r2,0.4461059220399909,heating tendency
ptend_t_50_r2,0.4467402852214581,heating tendency
ptend_q0001_39_r2,0.44694494856519407,moistening tendency
ptend_t_49_r2,0.4499973381890178,heating tendency
ptend_q0001_20_r2,0.4511141902973863,moistening tendency
ptend_q0003_28_r2,0.4523465128961675,cloud ice mixing ratio change over time
ptend_t_53_r2,0.4538456135888149,heating tendency
ptend_t_48_r2,0.4636054381485406,heating tendency
ptend_t_19_r2,0.4637014413878541,heating tendency
ptend_t_54_r2,0.463823340478755,heating tendency
ptend_q0003_44_r2,0.4643569090785688,cloud ice mixing ratio change over time
ptend_q0001_38_r2,0.4690019867725708,moistening tendency
ptend_q0003_45_r2,0.4724720669424406,cloud ice mixing ratio change over time
ptend_q0003_46_r2,0.474123371387402,cloud ice mixing ratio change over time
ptend_q0003_43_r2,0.4812851073764748,cloud ice mixing ratio change over time
ptend_t_55_r2,0.48312842025801606,heating tendency
ptend_u_35_r2,0.4837787734939112,zonal wind acceleration
ptend_q0003_29_r2,0.484990395234971,cloud ice mixing ratio change over time
