Var name,R2,Description
ptend_u_12_r2,-0.43635948657532353,zonal wind acceleration
ptend_v_12_r2,-0.20851784054699796,meridional wind acceleration
ptend_u_13_r2,-0.06777347949548168,zonal wind acceleration
ptend_v_13_r2,-0.062241023976534526,meridional wind acceleration
ptend_q0003_26_r2,0.013807906330348244,cloud ice mixing ratio change over time
ptend_q0003_25_r2,0.014430855942533516,cloud ice mixing ratio change over time
ptend_q0003_24_r2,0.016774168645421486,cloud ice mixing ratio change over time
ptend_u_33_r2,0.031268549611598716,zonal wind acceleration
ptend_v_34_r2,0.03649923947704798,meridional wind acceleration
ptend_u_32_r2,0.04398834890307022,zonal wind acceleration
ptend_q0003_27_r2,0.044823430522220264,cloud ice mixing ratio change over time
ptend_v_19_r2,0.0591903530430202,meridional wind acceleration
ptend_q0003_23_r2,0.06302530980847731,cloud ice mixing ratio change over time
ptend_u_22_r2,0.06647980199230387,zonal wind acceleration
ptend_q0003_45_r2,0.09435509906072066,cloud ice mixing ratio change over time
ptend_q0003_28_r2,0.09705930783502914,cloud ice mixing ratio change over time
ptend_v_33_r2,0.10513134443749295,meridional wind acceleration
ptend_q0003_46_r2,0.10640817878073908,cloud ice mixing ratio change over time
ptend_u_21_r2,0.10988183115408766,zonal wind acceleration
ptend_v_35_r2,0.11385471343009938,meridional wind acceleration
ptend_q0003_48_r2,0.1281189133384062,cloud ice mixing ratio change over time
ptend_q0003_44_r2,0.13324769740900758,cloud ice mixing ratio change over time
ptend_v_22_r2,0.1344163424869863,meridional wind acceleration
ptend_q0003_47_r2,0.13565525659647815,cloud ice mixing ratio change over time
ptend_u_34_r2,0.13761864041809585,zonal wind acceleration
ptend_q0003_49_r2,0.1400231362676971,cloud ice mixing ratio change over time
ptend_q0003_22_r2,0.14176088809795415,cloud ice mixing ratio change over time
ptend_u_28_r2,0.1439236561893981,zonal wind acceleration
ptend_q0003_50_r2,0.14479478999914136,cloud ice mixing ratio change over time
ptend_v_20_r2,0.15031936489229847,meridional wind acceleration
ptend_q0003_43_r2,0.15373773340597494,cloud ice mixing ratio change over time
ptend_v_30_r2,0.1616130323314275,meridional wind acceleration
ptend_q0002_52_r2,0.16617665666405954,cloud liquid mixing ratio change over time
ptend_u_23_r2,0.16723038808566765,zonal wind acceleration
ptend_v_32_r2,0.16727361418721162,meridional wind acceleration
ptend_u_27_r2,0.16940513098424972,zonal wind acceleration
ptend_q0002_53_r2,0.1713524017497325,cloud liquid mixing ratio change over time
ptend_q0002_51_r2,0.1720179754603955,cloud liquid mixing ratio change over time
ptend_u_31_r2,0.17534902638917155,zonal wind acceleration
ptend_u_14_r2,0.1785634590542915,zonal wind acceleration
ptend_v_31_r2,0.17977620165688052,meridional wind acceleration
ptend_q0002_50_r2,0.18403654259669208,cloud liquid mixing ratio change over time
ptend_q0003_42_r2,0.18455839631218213,cloud ice mixing ratio change over time
ptend_q0003_21_r2,0.18514005612042914,cloud ice mixing ratio change over time
ptend_v_21_r2,0.18537994788902953,meridional wind acceleration
ptend_q0002_44_r2,0.1864233226620205,cloud liquid mixing ratio change over time
ptend_q0002_41_r2,0.18711964476099607,cloud liquid mixing ratio change over time
ptend_q0003_29_r2,0.18791625514163215,cloud ice mixing ratio change over time
ptend_v_27_r2,0.189676480361309,meridional wind acceleration
ptend_q0002_49_r2,0.19070717470215753,cloud liquid mixing ratio change over time
ptend_q0001_50_r2,0.19128334212361844,moistening tendency
ptend_q0003_51_r2,0.1916015351899846,cloud ice mixing ratio change over time
ptend_v_29_r2,0.19253669466088075,meridional wind acceleration
ptend_q0002_46_r2,0.1926859484097344,cloud liquid mixing ratio change over time
ptend_q0002_42_r2,0.19268714418727972,cloud liquid mixing ratio change over time
ptend_q0003_52_r2,0.1946169083719716,cloud ice mixing ratio change over time
ptend_q0001_51_r2,0.19603827205529883,moistening tendency
ptend_v_36_r2,0.19687292421839747,meridional wind acceleration
ptend_q0001_42_r2,0.19690906773544026,moistening tendency
ptend_q0002_47_r2,0.198735992552189,cloud liquid mixing ratio change over time
ptend_u_26_r2,0.19895321102868202,zonal wind acceleration
ptend_v_14_r2,0.19902551781142103,meridional wind acceleration
ptend_q0002_48_r2,0.199540527671629,cloud liquid mixing ratio change over time
ptend_q0001_49_r2,0.19997808014984156,moistening tendency
ptend_q0002_54_r2,0.20281860181346334,cloud liquid mixing ratio change over time
ptend_q0001_41_r2,0.20311173099173566,moistening tendency
ptend_q0002_43_r2,0.2036231467138686,cloud liquid mixing ratio change over time
ptend_q0001_48_r2,0.2037104003281441,moistening tendency
ptend_u_35_r2,0.20410830819557044,zonal wind acceleration
ptend_u_25_r2,0.20899744681209195,zonal wind acceleration
ptend_q0002_45_r2,0.20908397899147485,cloud liquid mixing ratio change over time
ptend_q0001_46_r2,0.20947524939465037,moistening tendency
ptend_q0002_40_r2,0.21004284568888731,cloud liquid mixing ratio change over time
ptend_q0003_53_r2,0.21015695609210022,cloud ice mixing ratio change over time
ptend_q0001_43_r2,0.2120622399715334,moistening tendency
ptend_v_28_r2,0.21239851883481714,meridional wind acceleration
ptend_q0001_52_r2,0.21326518816308487,moistening tendency
ptend_q0001_47_r2,0.213801492473996,moistening tendency
ptend_u_29_r2,0.21415803440473866,zonal wind acceleration
ptend_u_20_r2,0.21591664300083208,zonal wind acceleration
ptend_q0002_56_r2,0.2164869362195685,cloud liquid mixing ratio change over time
ptend_q0001_44_r2,0.21722318426609177,moistening tendency
ptend_q0001_40_r2,0.219459998783957,moistening tendency
ptend_q0001_45_r2,0.21995800217365946,moistening tendency
ptend_q0002_55_r2,0.22190511288447648,cloud liquid mixing ratio change over time
ptend_q0002_38_r2,0.23077936941566138,cloud liquid mixing ratio change over time
ptend_q0001_39_r2,0.23404420283806016,moistening tendency
ptend_q0001_53_r2,0.2376147074369413,moistening tendency
ptend_q0003_41_r2,0.2397282365831168,cloud ice mixing ratio change over time
ptend_u_24_r2,0.2404959841937697,zonal wind acceleration
ptend_q0003_30_r2,0.25024128874093343,cloud ice mixing ratio change over time
ptend_q0002_39_r2,0.2593380986660317,cloud liquid mixing ratio change over time
ptend_u_36_r2,0.25968071589246383,zonal wind acceleration
