Var name,R2,Description
ptend_q0001_16_r2,0.26295641448774687,moistening tendency
ptend_q0001_51_r2,0.3061415528353344,moistening tendency
ptend_q0001_50_r2,0.307549480019464,moistening tendency
ptend_q0001_49_r2,0.30936506161367044,moistening tendency
ptend_q0002_41_r2,0.3184748501262895,cloud liquid mixing ratio change over time
ptend_q0002_45_r2,0.32277514287264236,cloud liquid mixing ratio change over time
ptend_q0002_46_r2,0.32663775611551765,cloud liquid mixing ratio change over time
ptend_q0002_44_r2,0.3306852442122518,cloud liquid mixing ratio change over time
ptend_q0001_48_r2,0.33956930341864094,moistening tendency
ptend_q0001_52_r2,0.3454027590971349,moistening tendency
ptend_q0001_41_r2,0.34558237036458145,moistening tendency
ptend_q0003_26_r2,0.3478284474242183,cloud ice mixing ratio change over time
ptend_q0002_51_r2,0.34833514437617397,cloud liquid mixing ratio change over time
ptend_q0001_53_r2,0.35746566118166206,moistening tendency
ptend_q0002_50_r2,0.3582786617946938,cloud liquid mixing ratio change over time
ptend_q0002_49_r2,0.35920368932706487,cloud liquid mixing ratio change over time
ptend_q0001_43_r2,0.361200189376401,moistening tendency
ptend_q0002_43_r2,0.36330550816921175,cloud liquid mixing ratio change over time
ptend_q0001_45_r2,0.36543896599336523,moistening tendency
ptend_q0002_42_r2,0.36599318209877896,cloud liquid mixing ratio change over time
ptend_q0001_44_r2,0.3660837355981851,moistening tendency
ptend_q0001_46_r2,0.3672479780520993,moistening tendency
ptend_q0002_52_r2,0.3778931816852739,cloud liquid mixing ratio change over time
ptend_q0001_47_r2,0.37870376553240953,moistening tendency
ptend_q0002_40_r2,0.3836946394980195,cloud liquid mixing ratio change over time
ptend_q0001_42_r2,0.3839723753395742,moistening tendency
ptend_q0003_25_r2,0.38872500024464857,cloud ice mixing ratio change over time
ptend_q0002_53_r2,0.3891727065008357,cloud liquid mixing ratio change over time
ptend_q0002_48_r2,0.38993824808474864,cloud liquid mixing ratio change over time
ptend_q0002_39_r2,0.39522707995618345,cloud liquid mixing ratio change over time
ptend_q0002_47_r2,0.3955535875353584,cloud liquid mixing ratio change over time
ptend_q0001_40_r2,0.39563775217813807,moistening tendency
ptend_q0001_54_r2,0.40129124843816555,moistening tendency
ptend_q0002_34_r2,0.40936072430603376,cloud liquid mixing ratio change over time
ptend_q0002_38_r2,0.41716036700392173,cloud liquid mixing ratio change over time
ptend_t_50_r2,0.41756069025532294,heating tendency
ptend_q0002_36_r2,0.42563005506800633,cloud liquid mixing ratio change over time
ptend_t_51_r2,0.42597881576861996,heating tendency
ptend_q0001_55_r2,0.42803277868000533,moistening tendency
ptend_q0002_33_r2,0.43209710067065055,cloud liquid mixing ratio change over time
ptend_q0002_54_r2,0.44003637720846933,cloud liquid mixing ratio change over time
ptend_q0002_37_r2,0.443753124765694,cloud liquid mixing ratio change over time
ptend_t_52_r2,0.44885898779186667,heating tendency
ptend_q0001_39_r2,0.4538471750871316,moistening tendency
ptend_t_49_r2,0.4555651267058084,heating tendency
ptend_t_53_r2,0.46631160823060425,heating tendency
ptend_t_48_r2,0.470825643814288,heating tendency
ptend_q0001_38_r2,0.47251341570702093,moistening tendency
ptend_q0002_31_r2,0.4746697641447408,cloud liquid mixing ratio change over time
ptend_t_54_r2,0.4807245289419086,heating tendency
ptend_q0001_56_r2,0.48861988430346825,moistening tendency
ptend_q0002_32_r2,0.4933470902167567,cloud liquid mixing ratio change over time
ptend_t_55_r2,0.49640984087374884,heating tendency
ptend_q0003_24_r2,0.5023899877175191,cloud ice mixing ratio change over time
ptend_t_47_r2,0.5093866750516152,heating tendency
ptend_q0003_27_r2,0.5096923191662601,cloud ice mixing ratio change over time
ptend_q0003_46_r2,0.509979812043012,cloud ice mixing ratio change over time
ptend_q0003_48_r2,0.5146432456621186,cloud ice mixing ratio change over time
ptend_u_41_r2,0.517475204718586,zonal wind acceleration
ptend_u_42_r2,0.5203478993472198,zonal wind acceleration
ptend_u_35_r2,0.5213202686860827,zonal wind acceleration
ptend_t_46_r2,0.5238255905657014,heating tendency
ptend_q0002_35_r2,0.5239783977779582,cloud liquid mixing ratio change over time
ptend_t_56_r2,0.5242422547422875,heating tendency
ptend_q0001_57_r2,0.5287817134321815,moistening tendency
ptend_q0002_55_r2,0.5322383209067588,cloud liquid mixing ratio change over time
ptend_t_57_r2,0.5323679985251264,heating tendency
ptend_q0003_47_r2,0.535025935080619,cloud ice mixing ratio change over time
ptend_q0003_29_r2,0.5384455301390145,cloud ice mixing ratio change over time
ptend_u_43_r2,0.5384812902080889,zonal wind acceleration
ptend_q0003_45_r2,0.5468355472349405,cloud ice mixing ratio change over time
ptend_q0003_30_r2,0.5496296363875981,cloud ice mixing ratio change over time
ptend_t_45_r2,0.5516594550399145,heating tendency
ptend_q0003_33_r2,0.5551328450476564,cloud ice mixing ratio change over time
ptend_q0003_32_r2,0.5552946963293439,cloud ice mixing ratio change over time
ptend_q0001_37_r2,0.5558846647081953,moistening tendency
ptend_u_34_r2,0.5588220678645002,zonal wind acceleration
ptend_t_44_r2,0.5601653620043459,heating tendency
ptend_u_36_r2,0.5613155893886497,zonal wind acceleration
ptend_q0003_28_r2,0.5622354016073865,cloud ice mixing ratio change over time
ptend_u_40_r2,0.5788960965296923,zonal wind acceleration
ptend_q0001_58_r2,0.5795554415299646,moistening tendency
ptend_q0001_36_r2,0.5818926133341042,moistening tendency
ptend_q0003_49_r2,0.5846365713920972,cloud ice mixing ratio change over time
ptend_q0003_31_r2,0.5858212955647968,cloud ice mixing ratio change over time
ptend_u_44_r2,0.5865985119115857,zonal wind acceleration
ptend_u_33_r2,0.5877524812263941,zonal wind acceleration
ptend_q0003_43_r2,0.5904509988158232,cloud ice mixing ratio change over time
ptend_q0001_59_r2,0.5909026046749525,moistening tendency
ptend_u_37_r2,0.5912237246294825,zonal wind acceleration
ptend_q0003_44_r2,0.5988280908997411,cloud ice mixing ratio change over time
ptend_t_43_r2,0.5989584028693209,heating tendency
ptend_t_58_r2,0.5989891331832107,heating tendency
ptend_q0003_34_r2,0.6007285394413637,cloud ice mixing ratio change over time
ptend_v_41_r2,0.6056736939372009,meridional wind acceleration
ptend_u_38_r2,0.6075599172207607,zonal wind acceleration
ptend_t_21_r2,0.6079122632663065,heating tendency
ptend_q0003_23_r2,0.6122140415069686,cloud ice mixing ratio change over time
ptend_q0001_35_r2,0.6128834172332431,moistening tendency
ptend_u_32_r2,0.6138989373280156,zonal wind acceleration
ptend_v_42_r2,0.6141680619800192,meridional wind acceleration
ptend_q0003_42_r2,0.6149117808673473,cloud ice mixing ratio change over time
ptend_u_31_r2,0.6216399289073011,zonal wind acceleration
ptend_t_42_r2,0.6224996700074403,heating tendency
ptend_u_26_r2,0.6251954512970191,zonal wind acceleration
ptend_u_30_r2,0.6257777648288015,zonal wind acceleration
ptend_u_45_r2,0.6268849123289183,zonal wind acceleration
ptend_q0003_50_r2,0.6322530420936605,cloud ice mixing ratio change over time
ptend_t_19_r2,0.6333951543512034,heating tendency
ptend_v_43_r2,0.6340347842367204,meridional wind acceleration
ptend_u_39_r2,0.6386434783235181,zonal wind acceleration
ptend_v_26_r2,0.6397288274588091,meridional wind acceleration
ptend_q0003_41_r2,0.6400627691388465,cloud ice mixing ratio change over time
ptend_t_41_r2,0.6414016414042409,heating tendency
ptend_u_25_r2,0.6514242258584813,zonal wind acceleration
ptend_q0002_56_r2,0.652782419805896,cloud liquid mixing ratio change over time
ptend_q0003_40_r2,0.6614941641761922,cloud ice mixing ratio change over time
ptend_v_29_r2,0.6634793525704838,meridional wind acceleration
ptend_q0003_51_r2,0.6655618892305124,cloud ice mixing ratio change over time
ptend_v_27_r2,0.6656151457796073,meridional wind acceleration
ptend_q0003_35_r2,0.6659006678203622,cloud ice mixing ratio change over time
ptend_v_28_r2,0.6704582886411389,meridional wind acceleration
ptend_q0001_34_r2,0.6744138493428321,moistening tendency
ptend_u_46_r2,0.6773872866014261,zonal wind acceleration
ptend_t_18_r2,0.681554056077903,heating tendency
ptend_u_29_r2,0.6829985223651368,zonal wind acceleration
ptend_q0003_52_r2,0.6836510274999635,cloud ice mixing ratio change over time
ptend_t_22_r2,0.6841154716365005,heating tendency
ptend_t_40_r2,0.6914618456759581,heating tendency
ptend_u_47_r2,0.694140326737651,zonal wind acceleration
ptend_v_44_r2,0.6961169053537922,meridional wind acceleration
ptend_q0003_39_r2,0.6990397635257362,cloud ice mixing ratio change over time
ptend_v_25_r2,0.7039556749045321,meridional wind acceleration
